"flow_id,""device"",""date"",""flow"""
"5716939,""202035132"",""2024-10-04 23:59:49+01"",""3.720"""
"5716940,""202035132"",""2024-10-04 23:44:49+01"",""3.600"""
"5716941,""202035132"",""2024-10-04 23:29:49+01"",""3.480"""
"5716942,""202035132"",""2024-10-04 23:14:49+01"",""4.120"""
"5716943,""202035132"",""2024-10-04 22:59:49+01"",""3.400"""
"5716944,""202035132"",""2024-10-04 22:44:49+01"",""3.520"""
"5716945,""202035132"",""2024-10-04 22:29:49+01"",""3.760"""
"5716946,""202035132"",""2024-10-04 22:14:49+01"",""3.800"""
"5716947,""202035132"",""2024-10-04 21:59:49+01"",""3.880"""
"5716948,""202035132"",""2024-10-04 21:44:49+01"",""4.360"""
"5716949,""202035132"",""2024-10-04 21:29:49+01"",""4.800"""
"5716950,""202035132"",""2024-10-04 21:14:49+01"",""7.400"""
"5716951,""202035132"",""2024-10-04 20:59:49+01"",""5.880"""
"5716952,""202035132"",""2024-10-04 20:44:49+01"",""5.920"""
"5716953,""202035132"",""2024-10-04 20:29:49+01"",""6.200"""
"5716954,""202035132"",""2024-10-04 20:14:49+01"",""5.960"""
"5716955,""202035132"",""2024-10-04 19:59:49+01"",""6.600"""
"5716956,""202035132"",""2024-10-04 19:44:49+01"",""7.080"""
"5716957,""202035132"",""2024-10-04 19:29:49+01"",""6.840"""
"5716958,""202035132"",""2024-10-04 19:14:49+01"",""6.040"""
"5716959,""202035132"",""2024-10-04 18:59:49+01"",""5.920"""
"5716960,""202035132"",""2024-10-04 18:44:49+01"",""6.240"""
"5716961,""202035132"",""2024-10-04 18:29:49+01"",""6.600"""
"5716962,""202035132"",""2024-10-04 18:14:49+01"",""6.240"""
"5713549,""202035132"",""2024-10-04 17:59:49+01"",""7.280"""
"5713550,""202035132"",""2024-10-04 17:44:49+01"",""8.000"""
"5713551,""202035132"",""2024-10-04 17:29:49+01"",""7.680"""
"5713552,""202035132"",""2024-10-04 17:14:49+01"",""6.040"""
"5713553,""202035132"",""2024-10-04 16:59:49+01"",""6.280"""
"5713554,""202035132"",""2024-10-04 16:44:49+01"",""8.440"""
"5713555,""202035132"",""2024-10-04 16:29:49+01"",""7.680"""
"5713556,""202035132"",""2024-10-04 16:14:49+01"",""7.400"""
"5713557,""202035132"",""2024-10-04 15:59:49+01"",""7.280"""
"5713558,""202035132"",""2024-10-04 15:44:49+01"",""7.680"""
"5713559,""202035132"",""2024-10-04 15:29:49+01"",""6.280"""
"5713560,""202035132"",""2024-10-04 15:14:49+01"",""6.840"""
"5713561,""202035132"",""2024-10-04 14:59:49+01"",""7.240"""
"5713562,""202035132"",""2024-10-04 14:44:49+01"",""8.240"""
"5713563,""202035132"",""2024-10-04 14:29:49+01"",""8.680"""
"5713564,""202035132"",""2024-10-04 14:14:49+01"",""7.400"""
"5713565,""202035132"",""2024-10-04 13:59:49+01"",""5.000"""
"5713566,""202035132"",""2024-10-04 13:44:49+01"",""4.320"""
"5713567,""202035132"",""2024-10-04 13:29:49+01"",""5.480"""
"5713568,""202035132"",""2024-10-04 13:14:49+01"",""5.640"""
"5713569,""202035132"",""2024-10-04 12:59:49+01"",""5.800"""
"5713570,""202035132"",""2024-10-04 12:44:49+01"",""6.000"""
"5713571,""202035132"",""2024-10-04 12:29:49+01"",""7.400"""
"5713572,""202035132"",""2024-10-04 12:14:49+01"",""6.040"""
"5710209,""202035132"",""2024-10-04 11:59:50+01"",""4.360"""
"5710210,""202035132"",""2024-10-04 11:44:50+01"",""6.080"""
"5710211,""202035132"",""2024-10-04 11:29:50+01"",""6.000"""
"5710212,""202035132"",""2024-10-04 11:14:50+01"",""6.400"""
"5710213,""202035132"",""2024-10-04 10:59:50+01"",""5.520"""
"5710214,""202035132"",""2024-10-04 10:44:50+01"",""4.800"""
"5710215,""202035132"",""2024-10-04 10:29:50+01"",""4.520"""
"5710216,""202035132"",""2024-10-04 10:14:50+01"",""5.200"""
"5710217,""202035132"",""2024-10-04 09:59:50+01"",""5.040"""
"5710218,""202035132"",""2024-10-04 09:44:50+01"",""5.480"""
"5710219,""202035132"",""2024-10-04 09:29:50+01"",""6.360"""
"5710220,""202035132"",""2024-10-04 09:14:50+01"",""5.960"""
"5710221,""202035132"",""2024-10-04 08:59:50+01"",""5.400"""
"5710222,""202035132"",""2024-10-04 08:44:50+01"",""6.160"""
"5710223,""202035132"",""2024-10-04 08:29:50+01"",""5.640"""
"5710224,""202035132"",""2024-10-04 08:14:50+01"",""5.520"""
"5710225,""202035132"",""2024-10-04 07:59:50+01"",""4.320"""
"5710226,""202035132"",""2024-10-04 07:44:50+01"",""3.720"""
"5710227,""202035132"",""2024-10-04 07:29:50+01"",""6.200"""
"5710228,""202035132"",""2024-10-04 07:14:50+01"",""4.080"""
"5710229,""202035132"",""2024-10-04 06:59:50+01"",""3.280"""
"5710230,""202035132"",""2024-10-04 06:44:50+01"",""3.560"""
"5710231,""202035132"",""2024-10-04 06:29:50+01"",""2.840"""
"5710232,""202035132"",""2024-10-04 06:14:50+01"",""2.360"""
"5706287,""202035132"",""2024-10-04 05:59:50+01"",""0.680"""
"5706288,""202035132"",""2024-10-04 05:44:50+01"",""0.600"""
"5706289,""202035132"",""2024-10-04 05:29:50+01"",""0.600"""
"5706290,""202035132"",""2024-10-04 05:14:50+01"",""0.520"""
"5706291,""202035132"",""2024-10-04 04:59:50+01"",""0.640"""
"5706292,""202035132"",""2024-10-04 04:44:50+01"",""0.520"""
"5706293,""202035132"",""2024-10-04 04:29:50+01"",""0.520"""
"5706294,""202035132"",""2024-10-04 04:14:50+01"",""0.520"""
"5706295,""202035132"",""2024-10-04 03:59:50+01"",""0.480"""
"5706296,""202035132"",""2024-10-04 03:44:50+01"",""0.680"""
"5706297,""202035132"",""2024-10-04 03:29:50+01"",""0.600"""
"5706298,""202035132"",""2024-10-04 03:14:50+01"",""0.480"""
"5706299,""202035132"",""2024-10-04 02:59:50+01"",""0.920"""
"5706300,""202035132"",""2024-10-04 02:44:50+01"",""5.160"""
"5706301,""202035132"",""2024-10-04 02:29:50+01"",""4.360"""
"5706302,""202035132"",""2024-10-04 02:14:50+01"",""3.960"""
"5706303,""202035132"",""2024-10-04 01:59:50+01"",""0.640"""
"5706304,""202035132"",""2024-10-04 01:44:50+01"",""0.520"""
"5706305,""202035132"",""2024-10-04 01:29:50+01"",""0.520"""
"5706306,""202035132"",""2024-10-04 01:14:50+01"",""0.760"""
"5706307,""202035132"",""2024-10-04 00:59:50+01"",""0.720"""
"5706308,""202035132"",""2024-10-04 00:44:50+01"",""0.680"""
"5706309,""202035132"",""2024-10-04 00:29:50+01"",""0.800"""
"5706310,""202035132"",""2024-10-04 00:14:50+01"",""1.960"""
"5702855,""202035132"",""2024-10-03 23:59:50+01"",""2.640"""
"5702856,""202035132"",""2024-10-03 23:44:50+01"",""3.240"""
"5702857,""202035132"",""2024-10-03 23:29:50+01"",""3.480"""
"5702858,""202035132"",""2024-10-03 23:14:50+01"",""3.720"""
"5702859,""202035132"",""2024-10-03 22:59:50+01"",""3.040"""
"5702860,""202035132"",""2024-10-03 22:44:50+01"",""3.800"""
"5702861,""202035132"",""2024-10-03 22:29:50+01"",""4.200"""
"5702862,""202035132"",""2024-10-03 22:14:50+01"",""4.560"""
"5702863,""202035132"",""2024-10-03 21:59:50+01"",""3.360"""
"5702864,""202035132"",""2024-10-03 21:44:50+01"",""3.760"""
"5702865,""202035132"",""2024-10-03 21:29:50+01"",""5.040"""
"5702866,""202035132"",""2024-10-03 21:14:50+01"",""4.400"""
"5702867,""202035132"",""2024-10-03 20:59:50+01"",""5.000"""
"5702868,""202035132"",""2024-10-03 20:44:50+01"",""4.000"""
"5702869,""202035132"",""2024-10-03 20:29:50+01"",""4.160"""
"5702870,""202035132"",""2024-10-03 20:14:50+01"",""4.880"""
"5702871,""202035132"",""2024-10-03 19:59:50+01"",""4.440"""
"5702872,""202035132"",""2024-10-03 19:44:50+01"",""6.360"""
"5702873,""202035132"",""2024-10-03 19:29:50+01"",""5.800"""
"5702874,""202035132"",""2024-10-03 19:14:50+01"",""5.320"""
"5702875,""202035132"",""2024-10-03 18:59:50+01"",""7.360"""
"5702876,""202035132"",""2024-10-03 18:44:50+01"",""7.240"""
"5702877,""202035132"",""2024-10-03 18:29:50+01"",""6.680"""
"5702878,""202035132"",""2024-10-03 18:14:50+01"",""6.960"""
"5699166,""202035132"",""2024-10-03 17:59:50+01"",""4.880"""
"5699167,""202035132"",""2024-10-03 17:44:50+01"",""4.600"""
"5699168,""202035132"",""2024-10-03 17:29:50+01"",""5.040"""
"5699169,""202035132"",""2024-10-03 17:14:50+01"",""5.480"""
"5699170,""202035132"",""2024-10-03 16:59:50+01"",""4.960"""
"5699171,""202035132"",""2024-10-03 16:44:50+01"",""7.680"""
"5699172,""202035132"",""2024-10-03 16:29:50+01"",""7.920"""
"5699173,""202035132"",""2024-10-03 16:14:50+01"",""9.480"""
"5699174,""202035132"",""2024-10-03 15:59:50+01"",""7.520"""
"5699175,""202035132"",""2024-10-03 15:44:50+01"",""4.880"""
"5699176,""202035132"",""2024-10-03 15:29:50+01"",""4.760"""
"5699177,""202035132"",""2024-10-03 15:14:50+01"",""5.320"""
"5699178,""202035132"",""2024-10-03 14:59:50+01"",""4.040"""
"5699179,""202035132"",""2024-10-03 14:44:50+01"",""4.760"""
"5699180,""202035132"",""2024-10-03 14:29:50+01"",""4.200"""
"5699181,""202035132"",""2024-10-03 14:14:50+01"",""4.200"""
"5699182,""202035132"",""2024-10-03 13:59:50+01"",""4.200"""
"5699183,""202035132"",""2024-10-03 13:44:50+01"",""4.400"""
"5699184,""202035132"",""2024-10-03 13:29:50+01"",""3.440"""
"5699185,""202035132"",""2024-10-03 13:14:50+01"",""3.440"""
"5699186,""202035132"",""2024-10-03 12:59:50+01"",""3.880"""
"5699187,""202035132"",""2024-10-03 12:44:50+01"",""5.880"""
"5699188,""202035132"",""2024-10-03 12:29:50+01"",""5.800"""
"5699189,""202035132"",""2024-10-03 12:14:50+01"",""6.600"""
"5695746,""202035132"",""2024-10-03 11:59:51+01"",""5.120"""
"5695747,""202035132"",""2024-10-03 11:44:51+01"",""6.480"""
"5695748,""202035132"",""2024-10-03 11:29:51+01"",""4.480"""
"5695749,""202035132"",""2024-10-03 11:14:51+01"",""4.760"""
"5695750,""202035132"",""2024-10-03 10:59:51+01"",""5.640"""
"5695751,""202035132"",""2024-10-03 10:44:51+01"",""7.440"""
"5695752,""202035132"",""2024-10-03 10:29:51+01"",""6.600"""
"5695753,""202035132"",""2024-10-03 10:14:51+01"",""4.720"""
"5695754,""202035132"",""2024-10-03 09:59:51+01"",""6.120"""
"5695755,""202035132"",""2024-10-03 09:44:51+01"",""6.040"""
"5695756,""202035132"",""2024-10-03 09:29:51+01"",""5.480"""
"5695757,""202035132"",""2024-10-03 09:14:51+01"",""5.160"""
"5695758,""202035132"",""2024-10-03 08:59:51+01"",""5.920"""
"5695759,""202035132"",""2024-10-03 08:44:51+01"",""7.000"""
"5695760,""202035132"",""2024-10-03 08:29:51+01"",""6.880"""
"5695761,""202035132"",""2024-10-03 08:14:51+01"",""4.960"""
"5695762,""202035132"",""2024-10-03 07:59:51+01"",""4.800"""
"5695763,""202035132"",""2024-10-03 07:44:51+01"",""5.800"""
"5695764,""202035132"",""2024-10-03 07:29:51+01"",""6.560"""
"5695765,""202035132"",""2024-10-03 07:14:51+01"",""3.440"""
"5695766,""202035132"",""2024-10-03 06:59:51+01"",""3.240"""
"5695767,""202035132"",""2024-10-03 06:44:51+01"",""3.520"""
"5695768,""202035132"",""2024-10-03 06:29:51+01"",""2.800"""
"5695769,""202035132"",""2024-10-03 06:14:51+01"",""1.920"""
"5692238,""202035132"",""2024-10-03 05:59:51+01"",""1.120"""
"5692239,""202035132"",""2024-10-03 05:44:51+01"",""0.560"""
"5692240,""202035132"",""2024-10-03 05:29:51+01"",""0.640"""
"5692241,""202035132"",""2024-10-03 05:14:51+01"",""0.560"""
"5692242,""202035132"",""2024-10-03 04:59:51+01"",""0.560"""
"5692243,""202035132"",""2024-10-03 04:44:51+01"",""0.560"""
"5692244,""202035132"",""2024-10-03 04:29:51+01"",""0.480"""
"5692245,""202035132"",""2024-10-03 04:14:51+01"",""0.400"""
"5692246,""202035132"",""2024-10-03 03:59:51+01"",""0.400"""
"5692247,""202035132"",""2024-10-03 03:44:51+01"",""0.440"""
"5692248,""202035132"",""2024-10-03 03:29:51+01"",""0.560"""
"5692249,""202035132"",""2024-10-03 03:14:51+01"",""0.480"""
"5692250,""202035132"",""2024-10-03 02:59:51+01"",""0.920"""
"5692251,""202035132"",""2024-10-03 02:44:51+01"",""5.080"""
"5692252,""202035132"",""2024-10-03 02:29:51+01"",""4.560"""
"5692253,""202035132"",""2024-10-03 02:14:51+01"",""3.920"""
"5692254,""202035132"",""2024-10-03 01:59:51+01"",""0.560"""
"5692255,""202035132"",""2024-10-03 01:44:51+01"",""0.440"""
"5692256,""202035132"",""2024-10-03 01:29:51+01"",""0.720"""
"5692257,""202035132"",""2024-10-03 01:14:51+01"",""0.920"""
"5692258,""202035132"",""2024-10-03 00:59:51+01"",""0.680"""
"5692259,""202035132"",""2024-10-03 00:44:51+01"",""0.920"""
"5692260,""202035132"",""2024-10-03 00:29:51+01"",""1.240"""
"5692261,""202035132"",""2024-10-03 00:14:51+01"",""1.640"""
"5688709,""202035132"",""2024-10-02 23:59:51+01"",""2.640"""
"5688710,""202035132"",""2024-10-02 23:44:51+01"",""3.040"""
"5688711,""202035132"",""2024-10-02 23:29:51+01"",""3.360"""
"5688712,""202035132"",""2024-10-02 23:14:51+01"",""4.160"""
"5688713,""202035132"",""2024-10-02 22:59:51+01"",""4.200"""
"5688714,""202035132"",""2024-10-02 22:44:51+01"",""4.000"""
"5688715,""202035132"",""2024-10-02 22:29:51+01"",""3.960"""
"5688716,""202035132"",""2024-10-02 22:14:51+01"",""3.240"""
"5688717,""202035132"",""2024-10-02 21:59:51+01"",""3.280"""
"5688718,""202035132"",""2024-10-02 21:44:51+01"",""3.560"""
"5688719,""202035132"",""2024-10-02 21:29:51+01"",""4.000"""
"5688720,""202035132"",""2024-10-02 21:14:51+01"",""3.840"""
"5688721,""202035132"",""2024-10-02 20:59:51+01"",""4.440"""
"5688722,""202035132"",""2024-10-02 20:44:51+01"",""4.160"""
"5688723,""202035132"",""2024-10-02 20:29:51+01"",""3.800"""
"5688724,""202035132"",""2024-10-02 20:14:51+01"",""4.320"""
"5688725,""202035132"",""2024-10-02 19:59:51+01"",""4.480"""
"5688726,""202035132"",""2024-10-02 19:44:51+01"",""5.480"""
"5688727,""202035132"",""2024-10-02 19:29:51+01"",""6.400"""
"5688728,""202035132"",""2024-10-02 19:14:51+01"",""4.440"""
