Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-01 00:00:00,18.0,1,1,0,0,0
2024-01-01 00:05:00,18.0,1,1,0,0,5
2024-01-01 00:10:00,10.2,1,1,0,0,10
2024-01-01 00:15:00,16.3,1,1,0,0,15
2024-01-01 00:20:00,16.3,1,1,0,0,20
2024-01-01 00:25:00,18.9,1,1,0,0,25
2024-01-01 00:30:00,18.9,1,1,0,0,30
2024-01-01 00:35:00,18.9,1,1,0,0,35
2024-01-01 00:40:00,18.9,1,1,0,0,40
2024-01-01 00:45:00,21.1,1,1,0,0,45
2024-01-01 00:50:00,21.1,1,1,0,0,50
2024-01-01 00:55:00,21.1,1,1,0,0,55
2024-01-01 01:00:00,15.0,1,1,0,1,0
2024-01-01 01:05:00,15.0,1,1,0,1,5
2024-01-01 01:10:00,15.0,1,1,0,1,10
2024-01-01 01:15:00,15.0,1,1,0,1,15
2024-01-01 01:20:00,12.0,1,1,0,1,20
2024-01-01 01:25:00,12.0,1,1,0,1,25
2024-01-01 01:30:00,15.6,1,1,0,1,30
2024-01-01 01:35:00,15.6,1,1,0,1,35
2024-01-01 01:40:00,13.8,1,1,0,1,40
2024-01-01 01:45:00,13.8,1,1,0,1,45
2024-01-01 01:50:00,12.0,1,1,0,1,50
2024-01-01 01:55:00,12.0,1,1,0,1,55
2024-01-01 02:00:00,15.6,1,1,0,2,0
2024-01-01 02:05:00,15.6,1,1,0,2,5
2024-01-01 02:10:00,15.6,1,1,0,2,10
2024-01-01 02:15:00,14.4,1,1,0,2,15
2024-01-01 02:20:00,14.4,1,1,0,2,20
2024-01-01 02:25:00,13.8,1,1,0,2,25
2024-01-01 02:30:00,13.8,1,1,0,2,30
2024-01-01 02:35:00,12.8,1,1,0,2,35
2024-01-01 02:40:00,12.8,1,1,0,2,40
2024-01-01 02:45:00,10.9,1,1,0,2,45
2024-01-01 02:50:00,10.9,1,1,0,2,50
2024-01-01 02:55:00,11.2,1,1,0,2,55
2024-01-01 03:00:00,11.2,1,1,0,3,0
2024-01-01 03:05:00,11.2,1,1,0,3,5
2024-01-01 03:10:00,9.4,1,1,0,3,10
2024-01-01 03:15:00,9.4,1,1,0,3,15
2024-01-01 03:20:00,10.5,1,1,0,3,20
2024-01-01 03:25:00,10.5,1,1,0,3,25
2024-01-01 03:30:00,10.0,1,1,0,3,30
2024-01-01 03:35:00,10.0,1,1,0,3,35
2024-01-01 03:40:00,11.6,1,1,0,3,40
2024-01-01 03:45:00,11.6,1,1,0,3,45
2024-01-01 03:50:00,10.2,1,1,0,3,50
2024-01-01 03:55:00,10.2,1,1,0,3,55
2024-01-01 04:00:00,10.2,1,1,0,4,0
2024-01-01 04:05:00,10.5,1,1,0,4,5
2024-01-01 04:10:00,10.5,1,1,0,4,10
2024-01-01 04:15:00,10.2,1,1,0,4,15
2024-01-01 04:20:00,10.2,1,1,0,4,20
2024-01-01 04:25:00,9.4,1,1,0,4,25
2024-01-01 04:30:00,9.4,1,1,0,4,30
2024-01-01 04:35:00,8.3,1,1,0,4,35
2024-01-01 04:40:00,8.3,1,1,0,4,40
2024-01-01 04:45:00,8.7,1,1,0,4,45
2024-01-01 04:50:00,8.7,1,1,0,4,50
2024-01-01 04:55:00,8.7,1,1,0,4,55
2024-01-01 05:00:00,9.2,1,1,0,5,0
2024-01-01 05:05:00,9.2,1,1,0,5,5
2024-01-01 05:10:00,8.5,1,1,0,5,10
2024-01-01 05:15:00,8.5,1,1,0,5,15
2024-01-01 05:20:00,7.3,1,1,0,5,20
2024-01-01 05:25:00,7.3,1,1,0,5,25
2024-01-01 05:30:00,7.3,1,1,0,5,30
2024-01-01 05:35:00,11.2,1,1,0,5,35
2024-01-01 05:40:00,10.0,1,1,0,5,40
2024-01-01 05:45:00,10.0,1,1,0,5,45
2024-01-01 05:50:00,10.0,1,1,0,5,50
2024-01-01 05:55:00,8.3,1,1,0,5,55
2024-01-01 06:00:00,8.3,1,1,0,6,0
2024-01-01 06:05:00,7.2,1,1,0,6,5
2024-01-01 06:10:00,7.2,1,1,0,6,10
2024-01-01 06:15:00,9.0,1,1,0,6,15
2024-01-01 06:20:00,9.0,1,1,0,6,20
2024-01-01 06:25:00,8.3,1,1,0,6,25
2024-01-01 06:30:00,8.3,1,1,0,6,30
2024-01-01 06:35:00,8.5,1,1,0,6,35
2024-01-01 06:40:00,8.5,1,1,0,6,40
2024-01-01 06:45:00,8.5,1,1,0,6,45
2024-01-01 06:50:00,10.0,1,1,0,6,50
2024-01-01 06:55:00,10.0,1,1,0,6,55
2024-01-01 07:00:00,15.6,1,1,0,7,0
2024-01-01 07:05:00,15.6,1,1,0,7,5
2024-01-01 07:10:00,16.3,1,1,0,7,10
2024-01-01 07:15:00,16.3,1,1,0,7,15
2024-01-01 07:20:00,16.3,1,1,0,7,20
2024-01-01 07:25:00,15.0,1,1,0,7,25
2024-01-01 07:30:00,10.9,1,1,0,7,30
2024-01-01 07:35:00,10.9,1,1,0,7,35
2024-01-01 07:40:00,10.9,1,1,0,7,40
2024-01-01 07:45:00,14.4,1,1,0,7,45
2024-01-01 07:50:00,14.4,1,1,0,7,50
2024-01-01 07:55:00,12.8,1,1,0,7,55
2024-01-01 08:00:00,12.8,1,1,0,8,0
2024-01-01 08:05:00,13.8,1,1,0,8,5
2024-01-01 08:10:00,13.8,1,1,0,8,10
2024-01-01 08:15:00,13.8,1,1,0,8,15
2024-01-01 08:20:00,18.0,1,1,0,8,20
2024-01-01 08:25:00,18.0,1,1,0,8,25
2024-01-01 08:30:00,18.0,1,1,0,8,30
2024-01-01 08:35:00,18.0,1,1,0,8,35
2024-01-01 08:40:00,16.3,1,1,0,8,40
2024-01-01 08:45:00,18.9,1,1,0,8,45
2024-01-01 08:50:00,18.9,1,1,0,8,50
2024-01-01 08:55:00,18.9,1,1,0,8,55
2024-01-01 09:00:00,21.2,1,1,0,9,0
2024-01-01 09:05:00,21.2,1,1,0,9,5
2024-01-01 09:10:00,21.2,1,1,0,9,10
2024-01-01 09:15:00,24.0,1,1,0,9,15
2024-01-01 09:20:00,24.0,1,1,0,9,20
2024-01-01 09:25:00,24.0,1,1,0,9,25
2024-01-01 09:30:00,24.0,1,1,0,9,30
2024-01-01 09:35:00,25.7,1,1,0,9,35
2024-01-01 09:40:00,25.7,1,1,0,9,40
2024-01-01 09:45:00,25.7,1,1,0,9,45
2024-01-01 09:50:00,25.7,1,1,0,9,50
2024-01-01 09:55:00,30.0,1,1,0,9,55
2024-01-01 10:00:00,24.0,1,1,0,10,0
2024-01-01 10:05:00,24.0,1,1,0,10,5
2024-01-01 10:10:00,24.0,1,1,0,10,10
2024-01-01 10:15:00,30.0,1,1,0,10,15
2024-01-01 10:20:00,30.0,1,1,0,10,20
2024-01-01 10:25:00,24.0,1,1,0,10,25
2024-01-01 10:30:00,32.7,1,1,0,10,30
2024-01-01 10:35:00,27.7,1,1,0,10,35
2024-01-01 10:40:00,27.7,1,1,0,10,40
2024-01-01 10:45:00,27.7,1,1,0,10,45
2024-01-01 10:50:00,32.7,1,1,0,10,50
2024-01-01 10:55:00,36.0,1,1,0,10,55
2024-01-01 11:00:00,36.0,1,1,0,11,0
2024-01-01 11:05:00,36.0,1,1,0,11,5
2024-01-01 11:10:00,40.0,1,1,0,11,10
2024-01-01 11:15:00,40.0,1,1,0,11,15
2024-01-01 11:20:00,40.0,1,1,0,11,20
2024-01-01 11:25:00,45.0,1,1,0,11,25
2024-01-01 11:30:00,36.0,1,1,0,11,30
2024-01-01 11:35:00,36.0,1,1,0,11,35
2024-01-01 11:40:00,36.0,1,1,0,11,40
2024-01-01 11:45:00,36.0,1,1,0,11,45
2024-01-01 11:50:00,36.0,1,1,0,11,50
2024-01-01 11:55:00,36.0,1,1,0,11,55
2024-01-01 12:00:00,36.0,1,1,0,12,0
2024-01-01 12:05:00,25.7,1,1,0,12,5
2024-01-01 12:10:00,40.0,1,1,0,12,10
2024-01-01 12:15:00,40.0,1,1,0,12,15
2024-01-01 12:20:00,36.0,1,1,0,12,20
2024-01-01 12:25:00,36.0,1,1,0,12,25
2024-01-01 12:30:00,40.0,1,1,0,12,30
2024-01-01 12:35:00,40.0,1,1,0,12,35
2024-01-01 12:40:00,36.0,1,1,0,12,40
2024-01-01 12:45:00,36.0,1,1,0,12,45
2024-01-01 12:50:00,30.0,1,1,0,12,50
2024-01-01 12:55:00,40.0,1,1,0,12,55
2024-01-01 13:00:00,36.0,1,1,0,13,0
2024-01-01 13:05:00,36.0,1,1,0,13,5
2024-01-01 13:10:00,30.0,1,1,0,13,10
2024-01-01 13:15:00,30.0,1,1,0,13,15
2024-01-01 13:20:00,30.0,1,1,0,13,20
2024-01-01 13:25:00,36.0,1,1,0,13,25
2024-01-01 13:30:00,40.0,1,1,0,13,30
2024-01-01 13:35:00,40.0,1,1,0,13,35
2024-01-01 13:40:00,40.0,1,1,0,13,40
2024-01-01 13:45:00,30.0,1,1,0,13,45
2024-01-01 13:50:00,40.0,1,1,0,13,50
2024-01-01 13:55:00,30.0,1,1,0,13,55
2024-01-01 14:00:00,30.0,1,1,0,14,0
2024-01-01 14:05:00,27.7,1,1,0,14,5
2024-01-01 14:10:00,27.7,1,1,0,14,10
2024-01-01 14:15:00,27.7,1,1,0,14,15
2024-01-01 14:20:00,27.7,1,1,0,14,20
2024-01-01 14:25:00,32.7,1,1,0,14,25
2024-01-01 14:30:00,27.7,1,1,0,14,30
2024-01-01 14:35:00,45.0,1,1,0,14,35
2024-01-01 14:40:00,36.0,1,1,0,14,40
2024-01-01 14:45:00,27.7,1,1,0,14,45
2024-01-01 14:50:00,36.0,1,1,0,14,50
2024-01-01 14:55:00,30.0,1,1,0,14,55
2024-01-01 15:00:00,27.7,1,1,0,15,0
2024-01-01 15:05:00,27.7,1,1,0,15,5
2024-01-01 15:10:00,27.7,1,1,0,15,10
2024-01-01 15:15:00,27.7,1,1,0,15,15
2024-01-01 15:20:00,27.7,1,1,0,15,20
2024-01-01 15:25:00,30.0,1,1,0,15,25
2024-01-01 15:30:00,30.0,1,1,0,15,30
2024-01-01 15:35:00,20.0,1,1,0,15,35
2024-01-01 15:40:00,27.7,1,1,0,15,40
2024-01-01 15:45:00,27.7,1,1,0,15,45
2024-01-01 15:50:00,27.7,1,1,0,15,50
2024-01-01 15:55:00,25.7,1,1,0,15,55
2024-01-01 16:00:00,20.0,1,1,0,16,0
2024-01-01 16:05:00,27.7,1,1,0,16,5
2024-01-01 16:10:00,27.7,1,1,0,16,10
2024-01-01 16:15:00,27.7,1,1,0,16,15
2024-01-01 16:20:00,25.7,1,1,0,16,20
2024-01-01 16:25:00,25.7,1,1,0,16,25
2024-01-01 16:30:00,25.7,1,1,0,16,30
2024-01-01 16:35:00,25.7,1,1,0,16,35
2024-01-01 16:40:00,20.0,1,1,0,16,40
2024-01-01 16:45:00,27.7,1,1,0,16,45
2024-01-01 16:50:00,27.7,1,1,0,16,50
2024-01-01 16:55:00,25.7,1,1,0,16,55
2024-01-01 17:00:00,25.7,1,1,0,17,0
2024-01-01 17:05:00,25.7,1,1,0,17,5
2024-01-01 17:10:00,27.7,1,1,0,17,10
2024-01-01 17:15:00,24.0,1,1,0,17,15
2024-01-01 17:20:00,24.0,1,1,0,17,20
2024-01-01 17:25:00,32.7,1,1,0,17,25
2024-01-01 17:30:00,27.7,1,1,0,17,30
2024-01-01 17:35:00,25.7,1,1,0,17,35
2024-01-01 17:40:00,25.7,1,1,0,17,40
2024-01-01 17:45:00,25.7,1,1,0,17,45
2024-01-01 17:50:00,24.0,1,1,0,17,50
2024-01-01 17:55:00,24.0,1,1,0,17,55
2024-01-01 18:00:00,30.0,1,1,0,18,0
2024-01-01 18:05:00,30.0,1,1,0,18,5
2024-01-01 18:10:00,32.7,1,1,0,18,10
2024-01-01 18:15:00,32.7,1,1,0,18,15
2024-01-01 18:20:00,27.7,1,1,0,18,20
2024-01-01 18:25:00,32.7,1,1,0,18,25
2024-01-01 18:30:00,25.7,1,1,0,18,30
2024-01-01 18:35:00,25.7,1,1,0,18,35
2024-01-01 18:40:00,25.7,1,1,0,18,40
2024-01-01 18:45:00,24.0,1,1,0,18,45
2024-01-01 18:50:00,24.0,1,1,0,18,50
2024-01-01 18:55:00,27.7,1,1,0,18,55
2024-01-01 19:00:00,27.7,1,1,0,19,0
2024-01-01 19:05:00,30.0,1,1,0,19,5
2024-01-01 19:10:00,30.0,1,1,0,19,10
2024-01-01 19:15:00,30.0,1,1,0,19,15
2024-01-01 19:20:00,24.0,1,1,0,19,20
2024-01-01 19:25:00,25.7,1,1,0,19,25
2024-01-01 19:30:00,25.7,1,1,0,19,30
2024-01-01 19:35:00,25.7,1,1,0,19,35
2024-01-01 19:40:00,24.0,1,1,0,19,40
2024-01-01 19:45:00,25.7,1,1,0,19,45
2024-01-01 19:50:00,25.7,1,1,0,19,50
2024-01-01 19:55:00,25.7,1,1,0,19,55
2024-01-01 20:00:00,27.7,1,1,0,20,0
2024-01-01 20:05:00,27.7,1,1,0,20,5
2024-01-01 20:10:00,27.7,1,1,0,20,10
2024-01-01 20:15:00,25.7,1,1,0,20,15
2024-01-01 20:20:00,27.7,1,1,0,20,20
2024-01-01 20:25:00,27.7,1,1,0,20,25
2024-01-01 20:30:00,27.7,1,1,0,20,30
2024-01-01 20:35:00,32.7,1,1,0,20,35
2024-01-01 20:40:00,36.0,1,1,0,20,40
2024-01-01 20:45:00,27.7,1,1,0,20,45
2024-01-01 20:50:00,36.0,1,1,0,20,50
2024-01-01 20:55:00,27.7,1,1,0,20,55
2024-01-01 21:00:00,27.7,1,1,0,21,0
2024-01-01 21:05:00,27.7,1,1,0,21,5
2024-01-01 21:10:00,27.7,1,1,0,21,10
2024-01-01 21:15:00,25.7,1,1,0,21,15
