"Time","flow"
2024-08-24 17:22:27,4.88
2024-08-24 17:07:27,4.04
2024-08-24 16:52:27,4.56
2024-08-24 16:37:27,4.72
2024-08-24 16:22:27,4.24
2024-08-24 16:07:27,4.56
2024-08-24 15:52:27,3.52
2024-08-24 15:37:27,3.88
2024-08-24 15:22:27,3.60
2024-08-24 15:07:27,4.48
2024-08-24 14:52:27,3.76
2024-08-24 14:37:27,3.80
2024-08-24 14:22:27,3.84
2024-08-24 14:07:27,6.20
2024-08-24 13:52:27,6.72
2024-08-24 13:37:36,8.20
2024-08-24 21:23:07,3.72
2024-08-24 21:08:07,4.36
2024-08-24 20:53:07,4.04
2024-08-24 20:38:07,6.40
2024-08-24 20:23:07,6.32
2024-08-24 20:08:07,5.88
2024-08-24 19:53:07,7.28
2024-08-24 19:38:07,6.12
2024-08-24 19:23:07,5.44
2024-08-24 19:08:07,5.44
2024-08-24 18:53:07,4.96
2024-08-24 18:38:07,4.48
2024-08-24 18:23:07,4.36
2024-08-24 18:08:07,4.44
2024-08-24 17:53:07,4.92
2024-08-24 17:38:11,5.48
2024-08-25 01:23:48,0.84
2024-08-25 01:08:48,0.80
2024-08-25 00:53:48,1.04
2024-08-25 00:38:48,1.12
2024-08-25 00:23:48,0.96
2024-08-25 00:08:48,2.80
2024-08-24 23:53:48,3.36
2024-08-24 23:38:48,3.24
2024-08-24 23:23:48,3.64
2024-08-24 23:08:48,3.44
2024-08-24 22:53:48,3.40
2024-08-24 22:38:48,3.68
2024-08-24 22:23:48,4.08
2024-08-24 22:08:48,4.52
2024-08-24 21:53:48,4.48
2024-08-24 21:38:56,4.08
2024-08-25 05:24:27,0.44
2024-08-25 05:09:27,0.72
2024-08-25 04:54:27,0.52
2024-08-25 04:39:27,0.56
2024-08-25 04:24:27,0.52
2024-08-25 04:09:27,0.48
2024-08-25 03:54:27,0.56
2024-08-25 03:39:27,0.52
2024-08-25 03:24:27,0.60
2024-08-25 03:09:27,0.56
2024-08-25 02:54:27,2.36
2024-08-25 02:39:27,4.80
2024-08-25 02:24:27,4.28
2024-08-25 02:09:27,2.88
2024-08-25 01:54:27,0.60
2024-08-25 01:39:36,0.68
2024-08-25 09:25:08,4.68
2024-08-25 09:10:08,5.28
2024-08-25 08:55:08,4.36
2024-08-25 08:40:08,5.32
2024-08-25 08:25:08,4.20
2024-08-25 08:10:08,4.56
2024-08-25 07:55:08,3.72
2024-08-25 07:40:08,4.00
2024-08-25 07:25:08,3.28
2024-08-25 07:10:08,2.72
2024-08-25 06:55:08,2.60
2024-08-25 06:40:08,2.44
2024-08-25 06:25:08,2.36
2024-08-25 06:10:08,1.20
2024-08-25 05:55:08,0.60
2024-08-25 05:40:16,0.76
2024-08-25 13:25:48,5.56
2024-08-25 13:10:48,5.92
2024-08-25 12:55:48,7.00
2024-08-25 12:40:48,5.52
2024-08-25 12:25:48,5.52
2024-08-25 12:10:48,4.92
2024-08-25 11:55:48,4.84
2024-08-25 11:40:48,5.44
2024-08-25 11:25:48,5.52
2024-08-25 11:10:48,4.52
2024-08-25 10:55:48,5.56
2024-08-25 10:40:48,5.52
2024-08-25 10:25:48,6.40
2024-08-25 10:10:48,6.76
2024-08-25 09:55:48,6.24
2024-08-25 09:40:56,6.32
2024-08-26 01:27:47,1.00
2024-08-26 01:12:47,1.20
2024-08-26 00:57:47,1.24
2024-08-26 00:42:47,1.32
2024-08-26 00:27:47,1.48
2024-08-26 00:12:47,3.00
2024-08-25 23:57:47,3.40
2024-08-25 23:42:47,3.40
2024-08-25 23:27:47,4.04
2024-08-25 23:12:47,4.48
2024-08-25 22:57:47,4.44
2024-08-25 22:42:47,4.04
2024-08-25 22:27:47,4.20
2024-08-25 22:12:47,4.36
2024-08-25 21:57:47,5.12
2024-08-25 21:42:56,5.48
2024-08-26 17:30:27,6.72
2024-08-26 17:15:27,5.40
2024-08-26 17:00:27,4.92
2024-08-26 16:45:27,5.92
2024-08-26 16:30:27,6.28
2024-08-26 16:15:27,6.40
2024-08-26 16:00:27,5.80
2024-08-26 15:45:27,5.72
2024-08-26 15:30:27,5.72
2024-08-26 15:15:27,5.32
