Time,flow,Month,day_of_month,day_of_week,Hour,Minute
2024-05-21 11:30:00,6.24,5,21,1,11,30
2024-05-21 11:45:00,8.6,5,21,1,11,45
2024-05-21 12:00:00,9.12,5,21,1,12,0
2024-05-21 12:15:00,7.8,5,21,1,12,15
2024-05-21 12:30:00,9.2,5,21,1,12,30
2024-05-21 12:45:00,7.28,5,21,1,12,45
2024-05-21 13:00:00,8.64,5,21,1,13,0
2024-05-21 13:15:00,6.84,5,21,1,13,15
2024-05-21 13:30:00,7.24,5,21,1,13,30
2024-05-21 13:45:00,5.52,5,21,1,13,45
2024-05-21 14:00:00,5.24,5,21,1,14,0
2024-05-21 14:15:00,4.12,5,21,1,14,15
2024-05-21 14:30:00,4.28,5,21,1,14,30
2024-05-21 14:45:00,4.32,5,21,1,14,45
2024-05-21 15:00:00,4.08,5,21,1,15,0
2024-05-21 15:15:00,5.08,5,21,1,15,15
2024-05-21 15:30:00,5.44,5,21,1,15,30
2024-05-21 15:45:00,4.64,5,21,1,15,45
2024-05-21 16:00:00,6.68,5,21,1,16,0
2024-05-21 16:15:00,5.48,5,21,1,16,15
2024-05-21 16:30:00,4.56,5,21,1,16,30
2024-05-21 16:45:00,5.68,5,21,1,16,45
2024-05-21 17:00:00,4.68,5,21,1,17,0
2024-05-21 17:15:00,4.76,5,21,1,17,15
2024-05-21 17:30:00,5.0,5,21,1,17,30
2024-05-21 17:45:00,4.16,5,21,1,17,45
2024-05-21 18:00:00,4.2,5,21,1,18,0
2024-05-21 18:15:00,4.52,5,21,1,18,15
2024-05-21 18:30:00,4.44,5,21,1,18,30
2024-05-21 18:45:00,4.96,5,21,1,18,45
2024-05-21 19:00:00,5.24,5,21,1,19,0
2024-05-21 19:15:00,5.16,5,21,1,19,15
2024-05-21 19:30:00,6.0,5,21,1,19,30
2024-05-21 19:45:00,4.88,5,21,1,19,45
2024-05-21 20:00:00,4.16,5,21,1,20,0
2024-05-21 20:15:00,4.64,5,21,1,20,15
2024-05-21 20:30:00,4.44,5,21,1,20,30
2024-05-21 20:45:00,5.16,5,21,1,20,45
2024-05-21 21:00:00,5.56,5,21,1,21,0
2024-05-21 21:15:00,4.88,5,21,1,21,15
2024-05-21 21:30:00,4.72,5,21,1,21,30
2024-05-21 21:45:00,3.56,5,21,1,21,45
2024-05-21 22:00:00,4.0,5,21,1,22,0
2024-05-21 22:15:00,4.04,5,21,1,22,15
2024-05-21 22:30:00,4.4,5,21,1,22,30
2024-05-21 22:45:00,4.6,5,21,1,22,45
2024-05-21 23:00:00,4.16,5,21,1,23,0
2024-05-21 23:15:00,3.16,5,21,1,23,15
2024-05-21 23:30:00,3.36,5,21,1,23,30
2024-05-21 23:45:00,3.12,5,21,1,23,45
2024-05-22 00:00:00,3.08,5,22,2,0,0
2024-05-22 00:15:00,2.8,5,22,2,0,15
2024-05-22 00:30:00,1.12,5,22,2,0,30
2024-05-22 00:45:00,1.4,5,22,2,0,45
2024-05-22 01:00:00,1.44,5,22,2,1,0
2024-05-22 01:15:00,1.24,5,22,2,1,15
2024-05-22 01:30:00,1.16,5,22,2,1,30
2024-05-22 01:45:00,0.92,5,22,2,1,45
2024-05-22 02:00:00,0.96,5,22,2,2,0
2024-05-22 02:15:00,0.92,5,22,2,2,15
2024-05-22 02:30:00,0.68,5,22,2,2,30
2024-05-22 02:45:00,0.76,5,22,2,2,45
